original_link,city,colleges,addresses,title,company,resumes,link,location,lastnames,firstnames,preview,type,zipcodes
http://jobview.monster.com/management-sales-trainee-entry-level-job-white-plains-ny-us-166561294.aspx?jobPosition=21,New York,"[0, 3, 1, 2]","[13, 2, 5, 16]","

Management/Sales Trainee (Entry Level)

","
The Sherwin-Williams Company
 ","[2, 6, 4, 0]",http://jobview.monster.com/management-sales-trainee-entry-level-job-white-plains-ny-us-166561294.aspx,"


White Plains
        ,NY


 ","[5, 6, 0, 4]","[6, 2, 7, 4]","
                                Does the idea of running your own million-dollar store appeal to you? How about managing your own sales territory? Is an executive management position in your plans? The Sherwin-Williams Management/Sales Training Program helps you build a foundation that serves as a springboard for all of your career aspirations. Our Management/Sales Training Program prepares you for a successful career in managem...
                            ",Sales,"[13, 2, 0, 7]"
http://jobview.monster.com/sales-representative-job-woodbury-ny-us-138523144.aspx?jobPosition=22,New York,"[2, 0, 3, 1]","[12, 0, 11, 15]","

Sales Representative

","
Wine Worldwide Inc
 ","[4, 3, 5, 1]",http://jobview.monster.com/sales-representative-job-woodbury-ny-us-138523144.aspx,"


Woodbury
        ,NY


 ","[6, 4, 1, 2]","[3, 7, 1, 6]","
                                Wine Worldwide, Inc.  Mediterranean Wines is an importer, wholesaler & distributor of wines from around the world, of all levels and price ranges, with a concentration on Italian wines. We are seeking Sales Representatives in the following areas: Hudson Valley. Candidates for the Sales positions are required to have a working knowledge of the wine market. As a Sales Representative, you would be t...
                            ",Sales,"[10, 14, 3, 11]"
http://jobview.monster.com/financial-services-financial-sales-job-melville-ny-us-164559057.aspx?jobPosition=23,New York,"[0, 1, 2, 3]","[3, 14, 4, 12]","

Financial Services / Financial Sales

","
New York Life
 ","[6, 2, 3, 7]",http://jobview.monster.com/financial-services-financial-sales-job-melville-ny-us-164559057.aspx,"


Melville
        ,NY

 ","[4, 1, 8, 7]","[0, 1, 7, 3]","
                                Financial Sales / Financial Adviser Career Description: Financial Professionals help clients identify and achieve their financial goals. We offer a comprehensive array of financial products and services to help clients develop a sound, long-term financial strategy. New York Life and its affiliates are dedicated to prudent financial management, high quality products, and impeccable service. Trainin...
                            ",Sales,"[14, 9, 10, 7]"
http://jobview.monster.com/business-development-manager-sales-job-malta-ny-us-161127418.aspx?jobPosition=24,New York,"[1, 3, 0, 2]","[15, 0, 4, 1]","

Business Development Manager Sales

","
ASML
 ","[2, 4, 1, 3]",http://jobview.monster.com/business-development-manager-sales-job-malta-ny-us-161127418.aspx,"


Malta
        ,NY


 ","[1, 5, 2, 6]","[2, 0, 5, 4]","
                                The Sales and Customer Management Sector is responsible for P&L, Customer Satisfaction, and Node Planning within all Customer accounts. S&CM works closely with Business Lines, Corporate Marketing and Customer Support Operations to deliver the overall ASML experience to the Customer. Responsible for sales of upgrades and options for Key Account or Region. Furthermore Business development activity r...
                            ",Sales,"[7, 5, 16, 4]"
http://jobview.monster.com/regional-manager-ii-field-sales-job-weston-ma-us-165814317.aspx?jobPosition=25,New York,"[3, 1, 2, 0]","[13, 6, 10, 4]","

Regional Manager II, Field Sales

","
Monster-US
 ","[2, 0, 6, 7]",http://jobview.monster.com/regional-manager-ii-field-sales-job-weston-ma-us-165814317.aspx,"


WESTON
        ,MA


 ","[5, 0, 3, 8]","[2, 8, 4, 5]","
                                Monster is a global online employment solution for people seeking jobs and employers who need to hire great people. Since the day of our founding in the fledgling days of the Internet over 20 years ago, we have never stopped helping our customers and job seekers to Find Better. With millions of jobs, cutting-edge technologies, global connections, and smarter solutions, Monster is continuing to cha...
                            ",Sales,"[14, 2, 7, 15]"
http://jobview.monster.com/Commercial-Sales-Manager-Long-Island-City-Job-Long-Island-City-NY-US-165855024.aspx?mescoid=4100666001001&jobPosition=1,New York,"[2, 0, 1, 3]","[16, 0, 5, 15]","

Commercial Sales Manager - Long Island City

","
ADT
 ","[5, 2, 0, 4]",http://jobview.monster.com/Commercial-Sales-Manager-Long-Island-City-Job-Long-Island-City-NY-US-165855024.aspx,"


Long Island City
        ,NY


 ","[3, 8, 5, 7]","[1, 6, 2, 8]","
                                Company Overview:  

The ADT Corporation (NYSE: ADT) is a leading provider of security and automation solutions for homes and businesses in the United States and Canada. ADT's broad and pioneering set of products and services, including ADT Pulse i......
                            ",Sales,"[5, 1, 11, 12]"
http://jobview.monster.com/Sales-Director-Job-Jersey-City-NJ-US-165211778.aspx?mescoid=1100008001001&jobPosition=2,New York,"[1, 0, 2, 3]","[5, 8, 1, 9]","

Sales Director

","
Lifestyle Publications
  ","[1, 7, 2, 6]",http://jobview.monster.com/Sales-Director-Job-Jersey-City-NJ-US-165211778.aspx,"


Jersey City
        ,NJ


 ","[6, 8, 3, 0]","[3, 4, 8, 0]","
                                Lifestyle Publications is seeking highly motivated, sales background individuals to launch and run their own businesses within their local community. 

This is a chance for you to own, run and grow your own business as a Sales Director. Our Sales Di......
                            ",Sales,"[17, 6, 4, 1]"
http://jobview.monster.com/Regional-Sales-Manager-Job-Staten-Island-NY-US-166228905.aspx?mescoid=4100666001001&jobPosition=3,New York,"[2, 1, 0, 3]","[14, 7, 11, 3]","

Regional Sales Manager

","
Apollo International
 ","[0, 6, 2, 3]",http://jobview.monster.com/Regional-Sales-Manager-Job-Staten-Island-NY-US-166228905.aspx,"


Staten Island
        ,NY


 ","[0, 5, 2, 8]","[1, 5, 6, 7]","
                                Apollo Intl Corp and Apolloflex Composite hose company is a leading manufacturer/fabricator and distributor  of flexible composite and rubber hoses andfittings.We have an opening for an outside sales representative in the NY and Northeast region.We ......
                            ",Sales,"[2, 6, 16, 5]"
http://jobview.monster.com/Outside-Sales-Engineer-Job-Newark-NJ-US-165852833.aspx?mescoid=4100691001001&jobPosition=4,New York,"[2, 0, 3, 1]","[4, 16, 10, 17]","

Outside Sales Engineer

","
Ray Engineering Co, Inc,
 ","[0, 6, 7, 3]",http://jobview.monster.com/Outside-Sales-Engineer-Job-Newark-NJ-US-165852833.aspx,"


Newark
        ,NJ


 ","[5, 6, 2, 3]","[0, 3, 1, 7]","
                                Job Description:

Mid-Size Manufactures Representative Company with over 100 years of history located in Massachusetts is seeking a self-starting, motivated Outside Sales Engineer to serve Power Plants in the Southern counties of New York and Northe......
                            ",Sales,"[10, 11, 0, 18]"
http://jobview.monster.com/Sales-Associate-Entry-Level-Job-New-York-City-NY-US-165773242.aspx?mescoid=4100683001001&jobPosition=5,New York,"[2, 0, 1, 3]","[9, 12, 18, 13]","

Sales Associate - Entry Level

","
Humanscale
 ","[5, 4, 7, 1]",http://jobview.monster.com/Sales-Associate-Entry-Level-Job-New-York-City-NY-US-165773242.aspx,"


New York City
        ,NY


 ","[0, 1, 5, 6]","[4, 0, 6, 1]","
                                Humanscale Job Description

 

 

POSITION:Sales Associate (SA)

 

 

 

 

DESCRIPTION:

 

The Sales Associate position is a junior sales role responsible for supporting post-sale installation, training and up-sell opportunities for a regional sa......
                            ",Sales,"[13, 14, 1, 17]"
